scenario,noise_rate,average_qber,qber_std,average_key_length,detection_rate
normal,0.0,0.0,0.0,15.894,0.0
noise,0.0,0.0,0.0,16.02,0.0
eve,0.0,0.2558463179362627,0.10756838507094921,16.23,0.922
noise_plus_eve,0.0,0.2580623464929899,0.11044894366755889,15.988,0.92
noise,0.02,0.013093424858595137,0.029054670022701824,15.972,0.016
noise_plus_eve,0.02,0.2516779042684481,0.11019882676418674,15.876,0.922
noise,0.05,0.03196675331936875,0.043669530767372906,16.146,0.072
noise_plus_eve,0.05,0.2658301364027606,0.1120100778286383,15.868,0.936
noise,0.1,0.06362818217221973,0.06120935811179441,16.12,0.218
noise_plus_eve,0.1,0.2759446982326239,0.11335983313425817,15.976,0.944
noise,0.15,0.09867829581502686,0.0751338632098321,15.922,0.436
noise_plus_eve,0.15,0.30185731808835187,0.11120091220197542,15.956,0.968
