circuit_name,num_qubits,attack_type,noise_rate,tvd,risk_score,expected_label,predicted_label,correct
adder_n4.qasm,4,Normal,0.005,0.05,4.51,0,0,True
adder_n4.qasm,4,Gate Insertion,0.005,0.995,97.61,1,1,True
adder_n4.qasm,4,Gate Deletion,0.005,1.0,98.65,1,1,True
adder_n4.qasm,4,Gate Substitution,0.005,0.975,99.2,1,1,True
adder_n4.qasm,4,Multiple Gate Insertion,0.005,0.99,99.2,1,1,True
adder_n4.qasm,4,Normal,0.01,0.15,10.63,0,0,True
adder_n4.qasm,4,Gate Insertion,0.01,0.985,97.75,1,1,True
adder_n4.qasm,4,Gate Deletion,0.01,0.995,98.74,1,1,True
adder_n4.qasm,4,Gate Substitution,0.01,0.99,99.25,1,1,True
adder_n4.qasm,4,Multiple Gate Insertion,0.01,0.995,99.25,1,1,True
adder_n4.qasm,4,Normal,0.02,0.26,30.88,0,0,True
adder_n4.qasm,4,Gate Insertion,0.02,0.99,98.26,1,1,True
adder_n4.qasm,4,Gate Deletion,0.02,0.99,99.02,1,1,True
adder_n4.qasm,4,Gate Substitution,0.02,0.985,99.42,1,1,True
adder_n4.qasm,4,Multiple Gate Insertion,0.02,0.975,99.42,1,1,True
adder_n4.qasm,4,Normal,0.03,0.46,94.9,0,1,False
adder_n4.qasm,4,Gate Insertion,0.03,0.96,98.26,1,1,True
adder_n4.qasm,4,Gate Deletion,0.03,0.985,99.02,1,1,True
adder_n4.qasm,4,Gate Substitution,0.03,0.97,99.42,1,1,True
adder_n4.qasm,4,Multiple Gate Insertion,0.03,0.935,99.42,1,1,True
adder_n4.qasm,4,Normal,0.04,0.53,98.26,0,1,False
adder_n4.qasm,4,Gate Insertion,0.04,0.95,98.26,1,1,True
adder_n4.qasm,4,Gate Deletion,0.04,0.975,99.02,1,1,True
adder_n4.qasm,4,Gate Substitution,0.04,0.96,99.42,1,1,True
adder_n4.qasm,4,Multiple Gate Insertion,0.04,0.91,99.42,1,1,True
adder_n4.qasm,4,Normal,0.05,0.555,98.26,0,1,False
adder_n4.qasm,4,Gate Insertion,0.05,0.93,98.26,1,1,True
adder_n4.qasm,4,Gate Deletion,0.05,0.97,99.02,1,1,True
adder_n4.qasm,4,Gate Substitution,0.05,0.965,99.42,1,1,True
adder_n4.qasm,4,Multiple Gate Insertion,0.05,0.92,99.42,1,1,True
basis_change_n3.qasm,3,Normal,0.005,0.16,6.97,0,0,True
basis_change_n3.qasm,3,Gate Insertion,0.005,0.945,97.46,1,1,True
