circuit,attack_type,noise_rate,expected_label,prediction,correct_prediction,status,risk_level,risk_score,anomaly_probability,normal_probability,noise_tvd_baseline,observed_tvd,excess_tvd,calibrated_probability,num_qubits,depth,total_gates
adder_n4.qasm,Normal,0.005,0,0,1,NORMAL,LOW,6.21,8.87,91.13,0.1857,0.09,0.0,6.21,4,12,27
adder_n4.qasm,Gate Insertion,0.005,1,1,1,ANOMALOUS,HIGH,97.56,96.52,3.48,0.1857,1.0,0.8143,97.56,4,12,28
adder_n4.qasm,Gate Deletion,0.005,1,0,0,NORMAL,LOW,7.74,11.05,88.95,0.1857,0.08,0.0,7.74,4,11,26
adder_n4.qasm,Gate Substitution,0.005,1,1,1,ANOMALOUS,MEDIUM,54.68,78.12,21.88,0.1857,0.09,0.0,54.68,4,12,27
adder_n4.qasm,Multiple Gate Insertion,0.005,1,1,1,ANOMALOUS,HIGH,99.62,99.46,0.54,0.1857,0.945,0.7593,99.62,4,14,29
adder_n4.qasm,Normal,0.01,0,0,1,NORMAL,LOW,12.02,17.17,82.83,0.2346,0.17,0.0,12.02,4,12,27
adder_n4.qasm,Gate Insertion,0.01,1,1,1,ANOMALOUS,MEDIUM,67.5,96.43,3.57,0.2346,0.14,0.0,67.5,4,12,28
adder_n4.qasm,Gate Deletion,0.01,1,0,0,NORMAL,LOW,14.64,20.91,79.09,0.2346,0.195,0.0,14.64,4,12,26
adder_n4.qasm,Gate Substitution,0.01,1,1,1,ANOMALOUS,HIGH,99.38,99.11,0.89,0.2346,0.975,0.7404,99.38,4,12,27
adder_n4.qasm,Multiple Gate Insertion,0.01,1,1,1,ANOMALOUS,HIGH,99.85,99.79,0.21,0.2346,0.99,0.7554,99.85,4,12,29
adder_n4.qasm,Normal,0.02,0,0,1,NORMAL,LOW,12.87,18.39,81.61,0.2982,0.265,0.0,12.87,4,12,27
adder_n4.qasm,Gate Insertion,0.02,1,1,1,ANOMALOUS,HIGH,99.32,99.02,0.98,0.2982,0.93,0.6318,99.32,4,13,28
adder_n4.qasm,Gate Deletion,0.02,1,1,1,ANOMALOUS,HIGH,98.4,97.71,2.29,0.2982,0.81,0.5118,98.4,4,12,26
adder_n4.qasm,Gate Substitution,0.02,1,1,1,ANOMALOUS,HIGH,99.22,98.89,1.11,0.2982,0.985,0.6868,99.22,4,12,27
adder_n4.qasm,Multiple Gate Insertion,0.02,1,1,1,ANOMALOUS,HIGH,99.84,99.77,0.23,0.2982,0.98,0.6818,99.84,4,13,29
adder_n4.qasm,Normal,0.03,0,1,0,ANOMALOUS,MEDIUM,47.4,58.36,41.64,0.3458,0.455,0.1092,47.4,4,12,27
adder_n4.qasm,Gate Insertion,0.03,1,1,1,ANOMALOUS,MEDIUM,69.57,94.74,5.26,0.3458,0.4,0.0542,69.57,4,13,28
adder_n4.qasm,Gate Deletion,0.03,1,1,1,ANOMALOUS,HIGH,98.29,97.56,2.44,0.3458,0.97,0.6242,98.29,4,12,26
adder_n4.qasm,Gate Substitution,0.03,1,1,1,ANOMALOUS,MEDIUM,65.62,89.1,10.9,0.3458,0.4,0.0542,65.62,4,12,27
adder_n4.qasm,Multiple Gate Insertion,0.03,1,1,1,ANOMALOUS,HIGH,90.48,98.47,1.53,0.3458,0.705,0.3592,90.48,4,13,29
adder_n4.qasm,Normal,0.04,0,1,0,ANOMALOUS,MEDIUM,58.77,71.85,28.15,0.3788,0.52,0.1412,58.77,4,12,27
adder_n4.qasm,Gate Insertion,0.04,1,1,1,ANOMALOUS,HIGH,87.05,92.97,7.03,0.3788,0.745,0.3662,87.05,4,12,28
adder_n4.qasm,Gate Deletion,0.04,1,1,1,ANOMALOUS,HIGH,98.28,97.54,2.46,0.3788,0.975,0.5962,98.28,4,12,26
adder_n4.qasm,Gate Substitution,0.04,1,1,1,ANOMALOUS,HIGH,76.95,83.26,16.74,0.3788,0.69,0.3112,76.95,4,12,27
adder_n4.qasm,Multiple Gate Insertion,0.04,1,1,1,ANOMALOUS,HIGH,91.65,99.12,0.88,0.3788,0.75,0.3712,91.65,4,13,29
adder_n4.qasm,Normal,0.05,0,1,0,ANOMALOUS,MEDIUM,57.28,71.85,28.15,0.4186,0.535,0.1164,57.28,4,12,27
adder_n4.qasm,Gate Insertion,0.05,1,1,1,ANOMALOUS,HIGH,99.3,99.0,1.0,0.4186,0.96,0.5414,99.3,4,12,28
adder_n4.qasm,Gate Deletion,0.05,1,1,1,ANOMALOUS,MEDIUM,62.68,71.85,28.15,0.4186,0.625,0.2064,62.68,4,12,26
adder_n4.qasm,Gate Substitution,0.05,1,1,1,ANOMALOUS,HIGH,96.36,94.81,5.19,0.4186,0.985,0.5664,96.36,4,12,27
adder_n4.qasm,Multiple Gate Insertion,0.05,1,1,1,ANOMALOUS,HIGH,99.33,99.05,0.95,0.4186,0.965,0.5464,99.33,4,12,29
basis_change_n3.qasm,Normal,0.005,0,0,1,NORMAL,LOW,4.01,5.72,94.28,0.1857,0.115,0.0,4.01,3,22,36
basis_change_n3.qasm,Gate Insertion,0.005,1,1,1,ANOMALOUS,HIGH,81.74,84.25,15.75,0.1857,0.565,0.3793,81.74,3,23,37
basis_change_n3.qasm,Gate Deletion,0.005,1,0,0,NORMAL,LOW,9.3,13.28,86.72,0.1857,0.185,0.0,9.3,3,22,35
basis_change_n3.qasm,Gate Substitution,0.005,1,1,1,ANOMALOUS,HIGH,96.72,95.31,4.69,0.1857,0.91,0.7243,96.72,3,22,36
basis_change_n3.qasm,Multiple Gate Insertion,0.005,1,1,1,ANOMALOUS,HIGH,90.82,98.08,1.92,0.1857,0.555,0.3693,90.82,3,24,38
basis_change_n3.qasm,Normal,0.01,0,0,1,NORMAL,LOW,10.42,14.89,85.11,0.2346,0.205,0.0,10.42,3,22,36
basis_change_n3.qasm,Gate Insertion,0.01,1,1,1,ANOMALOUS,HIGH,97.83,96.9,3.1,0.2346,0.935,0.7004,97.83,3,23,37
