circuit,attack_type,noise_rate,num_qubits,original_depth,modified_depth,original_gates,modified_gates,tvd,prediction,anomaly_probability,risk_score,risk_level,status
adder_n10.qasm,normal,0.01,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,FAILED: 'unknown instruction: majority'
adder_n10.qasm,gate_insertion,0.01,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,FAILED: 'unknown instruction: majority'
adder_n10.qasm,gate_deletion,0.01,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,FAILED: 'unknown instruction: majority'
adder_n10.qasm,gate_substitution,0.01,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,FAILED: 'unknown instruction: majority'
adder_n10.qasm,multiple_gate_insertion,0.01,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,FAILED: 'unknown instruction: majority'
adder_n4.qasm,normal,0.01,4,12,12,27,27,0.17,0,0.01,1.0,LOW,SUCCESS
adder_n4.qasm,gate_insertion,0.01,4,12,12,27,28,0.985,1,1.0,100.0,HIGH,SUCCESS
adder_n4.qasm,gate_deletion,0.01,4,12,12,27,26,0.805,1,0.99,99.0,HIGH,SUCCESS
adder_n4.qasm,gate_substitution,0.01,4,12,12,27,27,0.92,1,0.815,81.5,HIGH,SUCCESS
adder_n4.qasm,multiple_gate_insertion,0.01,4,12,12,27,29,0.96,1,1.0,100.0,HIGH,SUCCESS
basis_change_n3.qasm,normal,0.01,3,22,22,36,36,0.115,0,0.005,0.5,LOW,SUCCESS
basis_change_n3.qasm,gate_insertion,0.01,3,22,22,36,37,0.995,1,1.0,100.0,HIGH,SUCCESS
basis_change_n3.qasm,gate_deletion,0.01,3,22,22,36,35,0.21,0,0.06,6.0,LOW,SUCCESS
basis_change_n3.qasm,gate_substitution,0.01,3,22,22,36,36,0.98,1,0.74,74.0,HIGH,SUCCESS
basis_change_n3.qasm,multiple_gate_insertion,0.01,3,22,23,36,38,0.97,1,0.99,99.0,HIGH,SUCCESS
basis_test_n4.qasm,normal,0.01,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,"FAILED: ""basis_test_n4.qasm:118,0: 'swap' is not defined in this scope"""
basis_test_n4.qasm,gate_insertion,0.01,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,"FAILED: ""basis_test_n4.qasm:118,0: 'swap' is not defined in this scope"""
basis_test_n4.qasm,gate_deletion,0.01,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,"FAILED: ""basis_test_n4.qasm:118,0: 'swap' is not defined in this scope"""
basis_test_n4.qasm,gate_substitution,0.01,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,"FAILED: ""basis_test_n4.qasm:118,0: 'swap' is not defined in this scope"""
basis_test_n4.qasm,multiple_gate_insertion,0.01,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,"FAILED: ""basis_test_n4.qasm:118,0: 'swap' is not defined in this scope"""
basis_trotter_n4.qasm,normal,0.01,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,"FAILED: ""basis_trotter_n4.qasm:146,0: 'swap' is not defined in this scope"""
basis_trotter_n4.qasm,gate_insertion,0.01,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,"FAILED: ""basis_trotter_n4.qasm:146,0: 'swap' is not defined in this scope"""
basis_trotter_n4.qasm,gate_deletion,0.01,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,"FAILED: ""basis_trotter_n4.qasm:146,0: 'swap' is not defined in this scope"""
basis_trotter_n4.qasm,gate_substitution,0.01,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,"FAILED: ""basis_trotter_n4.qasm:146,0: 'swap' is not defined in this scope"""
basis_trotter_n4.qasm,multiple_gate_insertion,0.01,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,"FAILED: ""basis_trotter_n4.qasm:146,0: 'swap' is not defined in this scope"""
bb84_n8.qasm,normal,0.01,8,7,7,43,43,0.235,0,0.025,2.5,LOW,SUCCESS
bb84_n8.qasm,gate_insertion,0.01,8,7,7,43,44,1.0,1,0.88,88.0,HIGH,SUCCESS
bb84_n8.qasm,gate_deletion,0.01,8,7,7,43,42,1.0,1,1.0,100.0,HIGH,SUCCESS
bb84_n8.qasm,gate_substitution,0.01,8,7,7,43,43,1.0,1,0.96,96.0,HIGH,SUCCESS
bb84_n8.qasm,multiple_gate_insertion,0.01,8,7,8,43,45,1.0,1,0.89,89.0,HIGH,SUCCESS
bell_n4.qasm,normal,0.01,4,14,14,37,37,0.175,0,0.01,1.0,LOW,SUCCESS
bell_n4.qasm,gate_insertion,0.01,4,14,15,37,38,1.0,1,0.995,99.5,HIGH,SUCCESS
bell_n4.qasm,gate_deletion,0.01,4,14,14,37,36,1.0,1,0.975,97.5,HIGH,SUCCESS
bell_n4.qasm,gate_substitution,0.01,4,14,14,37,37,1.0,1,0.995,99.5,HIGH,SUCCESS
bell_n4.qasm,multiple_gate_insertion,0.01,4,14,14,37,39,1.0,1,1.0,100.0,HIGH,SUCCESS
cat_state_n4.qasm,normal,0.01,4,5,5,8,8,0.045,0,0.005,0.5,LOW,SUCCESS
cat_state_n4.qasm,gate_insertion,0.01,4,5,5,8,9,0.96,1,1.0,100.0,HIGH,SUCCESS
cat_state_n4.qasm,gate_deletion,0.01,4,5,4,8,7,0.52,1,1.0,100.0,HIGH,SUCCESS
cat_state_n4.qasm,gate_substitution,0.01,4,5,5,8,8,0.47,1,0.985,98.5,HIGH,SUCCESS
cat_state_n4.qasm,multiple_gate_insertion,0.01,4,5,5,8,10,0.98,1,0.99,99.0,HIGH,SUCCESS
deutsch_n2.qasm,normal,0.01,2,5,5,7,7,0.03,0,0.0,0.0,LOW,SUCCESS
deutsch_n2.qasm,gate_insertion,0.01,2,5,5,7,8,0.05,1,0.8,80.0,HIGH,SUCCESS
deutsch_n2.qasm,gate_deletion,0.01,2,5,4,7,6,0.47,1,0.985,98.5,HIGH,SUCCESS
deutsch_n2.qasm,gate_substitution,0.01,2,5,5,7,7,0.5,1,0.975,97.5,HIGH,SUCCESS
deutsch_n2.qasm,multiple_gate_insertion,0.01,2,5,7,7,9,0.96,1,1.0,100.0,HIGH,SUCCESS
dnn_n2.qasm,normal,0.01,2,155,155,228,228,0.245,0,0.015,1.5,LOW,SUCCESS
dnn_n2.qasm,gate_insertion,0.01,2,155,156,228,229,0.305,0,0.485,48.5,MEDIUM,SUCCESS
dnn_n2.qasm,gate_deletion,0.01,2,155,154,228,227,0.23,0,0.255,25.5,LOW,SUCCESS
dnn_n2.qasm,gate_substitution,0.01,2,155,155,228,228,0.405,1,0.625,62.5,MEDIUM,SUCCESS
dnn_n2.qasm,multiple_gate_insertion,0.01,2,155,157,228,230,0.29,1,0.835,83.5,HIGH,SUCCESS
dnn_n8.qasm,normal,0.01,8,173,173,1016,1016,0.815,0,0.155,15.5,LOW,SUCCESS
dnn_n8.qasm,gate_insertion,0.01,8,173,174,1016,1017,0.83,1,0.99,99.0,HIGH,SUCCESS
dnn_n8.qasm,gate_deletion,0.01,8,173,173,1016,1015,0.775,0,0.4,40.0,MEDIUM,SUCCESS
dnn_n8.qasm,gate_substitution,0.01,8,173,173,1016,1016,0.8,1,0.805,80.5,HIGH,SUCCESS
dnn_n8.qasm,multiple_gate_insertion,0.01,8,173,174,1016,1018,0.77,1,0.995,99.5,HIGH,SUCCESS
error_correctiond3_n5.qasm,normal,0.01,5,78,78,119,119,0.42,0,0.12,12.0,LOW,SUCCESS
error_correctiond3_n5.qasm,gate_insertion,0.01,5,78,78,119,120,0.56,0,0.385,38.5,MEDIUM,SUCCESS
error_correctiond3_n5.qasm,gate_deletion,0.01,5,78,77,119,118,0.46,1,0.91,91.0,HIGH,SUCCESS
error_correctiond3_n5.qasm,gate_substitution,0.01,5,78,78,119,119,0.46,1,0.995,99.5,HIGH,SUCCESS
error_correctiond3_n5.qasm,multiple_gate_insertion,0.01,5,78,78,119,121,0.725,1,0.99,99.0,HIGH,SUCCESS
fredkin_n3.qasm,normal,0.01,3,12,12,22,22,0.12,0,0.015,1.5,LOW,SUCCESS
fredkin_n3.qasm,gate_insertion,0.01,3,12,13,22,23,0.965,1,1.0,100.0,HIGH,SUCCESS
fredkin_n3.qasm,gate_deletion,0.01,3,12,12,22,21,0.12,0,0.02,2.0,LOW,SUCCESS
fredkin_n3.qasm,gate_substitution,0.01,3,12,12,22,22,0.965,1,0.965,96.5,HIGH,SUCCESS
